"","DATE","Jan.CPI","state_code","Change.in.Total.Homelessness..2021.2022","Change.in.Total.Homelessness..2020.2022","Change.in.Total.Homelessness..2019.2022","Change.in.Total.Homelessness..2018.2022","Change.in.Total.Homelessness..2017.2022","Change.in.Total.Homelessness..2016.2022","Change.in.Total.Homelessness..2015.2022","Change.in.Total.Homelessness..2014.2022","Change.in.Total.Homelessness..2013.2022","Change.in.Total.Homelessness..2012.2022","state","property_type","median_sale_price","state.income","homelessness_final_change","inflation_adjusted_price"
"1","2012-01-01",226.665,"AK","19.0%","19.0%","21.7%","15.1%","25.7%","19.6%","18.6%","30.0%","19.2%","21.3%","Alaska","All Residential",240800,79030,"increased",298680.600886771
"2","2012-01-01",226.665,"AK","19.0%","19.0%","21.7%","15.1%","25.7%","19.6%","18.6%","30.0%","19.2%","21.3%","Alaska","Condo/Co-op",188900,79030,"increased",234305.504599299
"3","2012-01-01",226.665,"AK","19.0%","19.0%","21.7%","15.1%","25.7%","19.6%","18.6%","30.0%","19.2%","21.3%","Alaska","Multi-Family (2-4 Unit)",313800,79030,"increased",389227.460790153
"4","2012-01-01",226.665,"AK","19.0%","19.0%","21.7%","15.1%","25.7%","19.6%","18.6%","30.0%","19.2%","21.3%","Alaska","Single Family Residential",263100,79030,"increased",326340.806035338
"5","2012-01-01",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","All Residential",135900,53970,"decreased",168566.003573556
"6","2012-01-01",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","Condo/Co-op",225000,53970,"decreased",279082.787373437
"7","2012-01-01",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","Multi-Family (2-4 Unit)",18000,53970,"decreased",22326.6229898749
"8","2012-01-01",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","Single Family Residential",127300,53970,"decreased",157898.839256171
"9","2012-01-01",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","Townhouse",84100,53970,"decreased",104314.944080471
"10","2012-01-01",226.665,"AR","15.0%","3.9%","-9.5%","-9.3%","-0.3%","-0.2%","-3.9%","-16.2%","-35.5%","-41.6%","Arkansas","All Residential",100300,48450,"decreased",124408.904771359
